date,dailyreturn
2020-10-13,0.78
2020-10-14,0.85
2020-10-15,-1.37
2020-10-16,-0.03
2020-10-19,0.45
2020-10-20,-0.52
2020-10-21,-0.07
2020-10-22,-0.09
2020-10-23,0.40
2020-10-26,0.62
2020-10-27,-0.31
2020-11-02,-0.26
2020-11-03,0.87
2020-11-04,-1.05
2020-11-05,3.04
2020-11-06,1.43
2020-11-09,0.38
2020-11-10,1.99
2020-11-11,0.86
2020-11-12,-0.92
2020-11-13,0.04
2020-11-16,0.62
2020-11-17,0.64
2020-11-18,0.50
2020-11-19,0.66
2020-11-20,-0.40
2020-11-23,1.46
2020-11-24,0.85
2020-11-25,-0.38
2020-11-26,1.42
2020-11-27,0.41
2020-11-30,-2.96
2020-12-01,2.00
2020-12-02,1.56
2020-12-03,0.15
2020-12-04,-0.21
2020-12-07,2.07
2020-12-08,0.23
2020-12-10,-0.18
2020-12-11,0.08
2020-12-14,1.25
2020-12-15,-0.04
2020-12-16,1.80
2020-12-17,-0.08
2020-12-18,-0.15
2020-12-21,1.00
2020-12-22,-2.31
2020-12-23,-0.24
2020-12-28,1.41
2020-12-29,-0.94
2020-12-30,-0.95
2021-01-04,2.10
2021-01-05,0.53
2021-01-06,-1.17
2021-01-07,1.45
2021-01-08,1.69
2021-01-11,2.00
2021-01-12,0.20
2021-01-13,0.62
2021-01-14,-0.11
2021-01-15,-0.85
2021-01-18,0.26
2021-01-19,-1.06
2021-01-20,1.71
2021-01-21,-0.25
2021-01-22,-1.66
2021-01-25,-0.77
2021-01-26,-1.89
2021-01-27,-0.50
2021-01-28,-2.12
2021-01-29,-1.96
2021-02-01,3.50
2021-02-02,-0.39
2021-02-03,0.56
2021-02-04,0.48
2021-02-05,0.73
2021-02-08,0.93
2021-02-09,-0.44
2021-02-10,0.33
2021-02-11,0.33
2021-02-15,0.77
2021-02-16,0.35
2021-02-17,-1.03
2021-02-18,-0.44
2021-02-19,0.51
2021-02-22,0.38
2021-02-23,0.28
2021-02-24,-0.35
2021-02-25,0.62
2021-02-26,-0.76
2021-03-01,1.55
2021-03-02,0.33
2021-03-03,0.28
2021-03-04,-1.35
2021-03-05,-0.51
2021-03-08,-0.16
2021-03-09,-0.78
2021-03-10,1.05
2021-03-12,1.49
2021-03-15,-0.53
2021-03-16,-0.23
2021-03-17,-0.51
2021-03-18,1.12
2021-03-19,0.13
2021-03-22,-0.87
2021-03-23,-0.77
2021-03-24,-1.54
2021-03-25,-0.54
2021-03-26,1.19
2021-03-29,-0.46
2021-03-30,-1.55
2021-03-31,-1.42
2021-04-01,0.43
2021-04-05,-0.68
2021-04-06,0.54
2021-04-07,0.56
2021-04-08,0.58
2021-04-09,-0.02
2021-04-12,-2.00
2021-04-13,-0.36
2021-04-14,2.07
2021-04-15,0.48
2021-04-16,0.11
2021-04-19,-0.55
2021-04-20,-0.23
2021-04-21,-0.75
2021-04-22,0.02
2021-04-23,0.38
2021-04-26,-0.86
2021-04-27,-0.09
2021-04-28,0.25
2021-04-29,0.64
2021-04-30,-0.29
2021-05-03,-0.72
2021-05-04,0.19
2021-05-05,0.20
2021-05-06,-0.09
2021-05-07,-0.70
2021-05-10,0.80
2021-05-11,-0.63
2021-05-17,-1.76
2021-05-18,0.01
2021-05-19,-1.27
2021-05-20,0.64
2021-05-21,-0.42
2021-05-24,-0.16
2021-05-25,0.91
2021-05-27,0.45
2021-05-28,0.12
2021-05-31,1.69
2021-06-02,1.41
2021-06-03,0.99
2021-06-04,-0.43
2021-06-07,0.08
2021-06-08,-1.16
2021-06-09,0.80
2021-06-10,0.99
2021-06-11,-0.20
2021-06-14,-0.25
2021-06-15,0.14
2021-06-16,-0.17
2021-06-17,-0.17
2021-06-18,-1.01
2021-06-21,-0.18
2021-06-22,1.53
2021-06-23,-0.88
2021-06-24,-0.37
2021-06-25,0.17
2021-06-28,-1.38
2021-06-29,0.16
2021-06-30,0.61
2021-07-01,0.34
2021-07-02,0.28
2021-07-05,-0.29
2021-07-06,0.69
2021-07-07,-0.05
2021-07-08,-0.07
2021-07-09,0.00
2021-07-12,0.64
2021-07-13,-1.09
2021-07-14,-0.55
2021-07-15,1.13
2021-07-16,0.43
2021-07-19,-0.91
2021-07-21,0.21
2021-07-22,1.78
2021-07-23,-0.58
2021-07-26,0.08
2021-07-27,-0.15
2021-07-28,-0.14
2021-07-29,0.53
2021-07-30,-0.83
2021-08-02,0.44
2021-08-03,0.56
2021-08-04,0.46
2021-08-05,0.75
2021-08-06,-0.03
2021-08-09,-1.22
2021-08-10,-0.64
2021-08-12,0.84
2021-08-13,0.00
2021-08-16,-0.84
2021-08-18,0.50
2021-08-19,-2.06
2021-08-20,0.64
2021-08-23,1.31
2021-08-24,-0.33
2021-08-25,0.39
2021-08-26,-0.90
2021-08-27,-0.28
2021-08-30,1.71
2021-08-31,0.09
2021-09-01,-0.97
2021-09-02,-0.21
2021-09-03,0.80
2021-09-06,0.00
2021-09-07,-0.24
2021-09-08,-1.41
2021-09-09,0.70
2021-09-10,0.44
2021-09-13,-0.11
2021-09-14,0.67
2021-09-15,-0.31
2021-09-16,0.00
2021-09-17,0.38
2021-09-20,-0.93
2021-09-21,-0.26
2021-09-22,0.78
2021-09-23,0.56
2021-09-24,0.03
2021-09-27,-0.36
2021-09-28,-0.15
2021-09-29,0.81
2021-09-30,2.02
2021-10-01,-0.92
2021-10-04,1.83
2021-10-05,-0.86
2021-10-06,2.06
2021-10-07,-0.01
2021-10-08,1.02
2021-10-11,-0.34
2021-10-12,0.41
2021-10-13,0.78
2021-10-14,1.36
2021-10-15,0.11
2021-10-18,0.38
2021-10-19,-0.04
2021-10-21,-0.35
2021-10-22,0.16
2021-10-25,-0.27
2021-10-26,0.47
2021-10-27,-0.82
2021-10-28,-1.18
